,Asset Name,Main Category,Date,Bell Labs People,Keywords,,,,,,Description
1,5ESS Lab,Networks,4-1989,NA,5ESS,Indian Hills,digital switch,ISDN,Network Management,Switching,"View of 5ESS Systems Laboratory in atrium at Indian Hill. The 5ESS digital switch shown here is configured to provide research and development capabilities for computer scientists and engineers working on new ISDN features. Located in an atrium at AT&T Bell Laboratories Indian Hill facilities, the switch is used 24 hours per day, seven days per week, to test new generics and programs under the aegis of the 5ESS Switch System Laboratories Department"
2,5ess close,Networks,1987,NA,5ESS,"Seneca, Ill.",digital switch,"Cedarville, Oh",ISDN,Switching,"AT&T's 5ESS system, the most advance local digital switch, has the ability to grow or shrink to meet the changing needs of today. The first 5ESS went into service in Seneca, Ill., Cedarville , Ohio, in 1982."
3,91-12214  Telephotog Sending Unit,Networks,1925,NA,Transmitting unit,Telephotograph,facsimile,telephotography,light valve,,Telephotography - Transmitting unit of 1925 Telephotograph Equipment -
4,91-12217 Telephotog Rec Unit,Networks,1925,NA,Receving Unit,Telephotograph,facsimile,telephotography,,, Telephotography - Receiving Unit of 1925 Telephotograph Equipment -
5,86-0300097,MULTI-MEDIA,1926,NA,Acoustical Research,Sound Recording,Motion Pictures,Western Electric,Vitaphone,sound motion pictures/ Acoustics,"From the Western Electric Company News, June, 1926: ""This projection machine gives a motion picture audience both visual and audible entertainment. It is part of a new system announced as perfected by the Western Electric Company and Warner Brothers Pictures Inc., by means of which complete musical programs, played by the world's greatest musical organizations, will be available in any moving picture theater. Absolute synchronization of films with reproduced sound having a naturalness never before attained is accomplished by the new system. The projector is no more complicated from the standpoint of operation than an ordinary moving picture projector. No special skill is required of the operator. If the film breaks, there is no interference with the accuracy of synchronization. A remarkable new electric reproducer is embodied in this part of the equipment."
6,86-300168,MULTI-MEDIA,9715,NA,syncronized sound,Warner Brothers,Western Electric,Motion Pictures,first full length,John Barrymore/ Don Juan,"Vitaphone opening at Warner's theatre, August 6, 1926. First installation of Western Electric sound motion picture system"
7,ITEMdeliver1,MULTI-MEDIA,9710,NA,Don Juan,Warner Theater,Vitaphone,sound motion picture,,acoustics,The Warner Theatre as it appeared in August 1926.
8,Two Engineers,MULTI-MEDIA,9618,H.M. Stroller (L) and H. Pfannenstiehl ®,acoustical research,vitaphone,sound motion pictures,,synchronized sound,,"H.M. Stoller (left) and H. Pfannenstiehl with the first commercial model of the disc record attachment for the motion picture projection machines. Stoller and Pfannenstiehl, who with their groups were responsible, respectively, for the motor and its control and for mechanical design of the turntable gears and other parts. Two men standing in a room with machinery behind them."
9,Vitaphone,MULTI-MEDIA,na,NA,vitaphone,Don Juan,John Barrymore,sound motion pictures,,synchronized sound,Films-Movies-Theaters: Vitaphone Productions.
10,86-301682 - Davisson Germer,Physics,1927,C.J. Davisson and L.H. Germer,Wave Nature of Matter,Electron Diffraction,Tube,,,,C.J. Davisson and L.H. Germer with tube used in electron diffraction work.
11,97-6401 Transistor,Physics,1997,NA,transistor,50 years old,Microelectronics,Nobel Prize,,,Photograph of the first transistor. Invented in 1947.
12,86301665,Physics,1948,"Dr. John Bardeen (L), Dr. Walter H, Brattainm (R), Dr. William Shockley (Seated)",transistor,First Transistor,Microelectronics,Nobel Prize,,,"With this apparatus at Bell Telephone Laboratories, some of the first investigations leading to the discovery of the transistor were made. Seated is Dr. William Shockley, who initiated and directed the Laboratories transistor research program. Standing are Dr. John Bardeen, left, and Dr. Walter H. Brattain, key scientists in bringing the invention to reality. The transistors potentialities are such that Bell scientists and engineers expect it may have far reaching significance in the field of electronics and electrical communication. It has been shown to produce amplification as high as 100 to 1. Some test models have been operated as amplifiers at frequencies up to 10 million cycles per second."
13,transistors inventors,Physics,1948,"Dr. John Bardeen (L), Dr. Walter H, Brattainm (R), Dr. William Shockley (Seated)",transistor,,,,,," Bell Laboratories- Drs. John Bardeen, William Shockley and Walter H. Brattain, shown at Bell Telephone Laboratories in 1948 with apparatus used in first investigations that led to the invention of the transistor. The trio received the 1956 Nobel Physics award for their invention of the transistor, which was announced by Bell Laboratories in 1948."
14,89-13568 Airplane Pilots,WIRELESS,1917,,Radio Telephony,Air to Ground,,,,,"Radio Telephony - Airplane. Airplane equipped with radio telephone, showing the aviators' sound proof helmets and transmitters."
15,Claude Shannon at blackboard,Mathematics,1955,Claud Shannon,Information Theory,,,,,,"Claude Shannon, the originator of information theory, at the board and dave hagelbarger work out some equations needed. their current projects include work on automata advanced type of computing machines which are able to perform various thought functions"
16,Claude Shannon,Mathematics,1952,Claude Shannon,Information Theory,›,mouse,computer learning,,,"In 1952 claude e. shannon of bell laboratories devised an experiment to illustrate the capabilities of tel relays. Here an electrical mouse finds its way unerringly through a maze, guided by information remembered in the kind of switching relays used in dial telephone systems. Experiments with the mouse helped stimulate Bell Labs researchers to think of new ways to use the logical powers of computers for operations other than numerical calculation mouse in maze electronic mouse"
17,Graphic Representation,Mathematics,1967,Claude Shannon,transmitter,receiver,communication,economics,mathematics,statistics,Information theory deals with the sources and destinations transmitters and-receivers and channels of communications. since it was expounded 20 years ago information theory has become a vital tool in the planning and evalutation of communication systems. of particular importance is the concept of the binary digit or bit (o or 1 for example) as the fundamental unit of information. The mathematical tools of information theory have proved invaluable to the designer of communication systems
